,uri,popularity
0,spotify:track:0UaMYEvWZi0ZqiDOoHU3YI,67
1,spotify:track:6I9VzXrHxO9rA9A5euc8Ak,79
2,spotify:track:0WqIKmW4BTrj3eJFmnCKMv,24
3,spotify:track:1AWQoqb9bSvzTjaLralEkT,72
4,spotify:track:1lzr43nnXAijIGYnCT8M8H,0
5,spotify:track:0XUfyU2QviPAs6bxSpXYG4,0
6,spotify:track:68vgtRHr7iZHpzGpon6Jlo,80
7,spotify:track:3BxWKCI06eQ5Od8TY2JBeA,64
8,spotify:track:7H6ev70Weq6DdpZyyTmUXk,76
9,spotify:track:2PpruBYCo4H7WOBJ7Q2EwM,78
10,spotify:track:2gam98EZKrF9XuOkU13ApN,81
11,spotify:track:4Y45aqo9QMa57rDsAJv40A,0
12,spotify:track:1HwpWwa6bnqqRhK8agG4RS,72
13,spotify:track:20ORwCJusz4KS2PbTPVNKo,64
14,spotify:track:7k6IzwMGpxnRghE7YosnXT,72
15,spotify:track:1Bv0Yl01xBDZD4OQP93fyl,45
16,spotify:track:4omisSlTk6Dsq2iQD7MA07,0
17,spotify:track:7xYnUQigPoIDAMPVK79NEq,70
18,spotify:track:6d8A5sAx9TfdeseDvfWNHd,31
19,spotify:track:4pmc2AxSEq6g7hPVlJCPyP,70
20,spotify:track:215JYyyUnrJ98NK3KEwu6d,58
21,spotify:track:0uqPG793dkDDN7sCUJJIVC,0
22,spotify:track:19Js5ypV6JKn4DMExHQbGc,61
23,spotify:track:1JURww012QnWAw0zZXi6Aa,61
24,spotify:track:7DFnq8FYhHMCylykf6ZCxA,73
25,spotify:track:1TfAhjzRBWzYZ8IdUV3igl,0
26,spotify:track:1Y4ZdPOOgCUhBcKZOrUFiS,63
27,spotify:track:6MjljecHzHelUDismyKkba,39
28,spotify:track:67T6l4q3zVjC5nZZPXByU8,67
29,spotify:track:34ceTg8ChN5HjrqiIYCn9Q,68
30,spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1,73
31,spotify:track:6GIrIt2M39wEGwjCQjGChX,62
32,spotify:track:4E5P1XyAFtrjpiIxkydly4,77
33,spotify:track:3H1LCvO3fVsK2HPguhbml0,0
34,spotify:track:3uoQULcUWfnt6nc6J7Vgai,0
35,spotify:track:2nbClS09zsIAqNkshg6jnp,0
36,spotify:track:69ghzc538EQSVon2Gm3wrr,69
37,spotify:track:1kusepF3AacIEtUTYrw4GV,45
38,spotify:track:7oK9VyNzrYvRFo7nQEYkWN,75
39,spotify:track:12qZHAeOyTf93YAWvGDTat,0
40,spotify:track:2jFlMILIQzs7lSFudG9lbo,0
41,spotify:track:4I2GqMe7L2ccMpUbnDzYLH,0
42,spotify:track:5lDriBxJd22IhOH9zTcFrV,70
43,spotify:track:2eJ8ij1T3cNUKiGdcUvKhy,0
44,spotify:track:5y69gQtK33qxb8a24ACkCy,0
45,spotify:track:1X5WGCrUMuwRFuYU1eAo2I,20
46,spotify:track:3utIAb67sOu0QHxBE88P1M,39
47,spotify:track:3jkdQNkDTxxXtjSO4l0o1H,54
48,spotify:track:5c1sfI6wIQEsSUw0xrkFdl,37
49,spotify:track:6sqNctd7MlJoKDOxPVCAvU,68
50,spotify:track:1b7vg5T9YKR3NNqXfBYRF7,51
51,spotify:track:2HHtWyy5CgaQbC7XSoOb0e,74
52,spotify:track:1MYYt7h6amcrauCOoso3Gx,24
53,spotify:track:3x2mJ2bjCIU70NrH49CtYR,13
54,spotify:track:1Pm3fq1SC6lUlNVBGZi3Em,12
55,spotify:track:1NXTEkIeRL59NK61QuhYUl,21
56,spotify:track:3RGlJJFkWEavxeRQr9ivAd,18
57,spotify:track:0e9hR1vTrzlUvFH5PgA9rY,35
58,spotify:track:7dkbEHIMLoeuG4zXGmzhEH,35
59,spotify:track:7nZnCjIJ8JigdMqJ36yRRm,14
60,spotify:track:2TK2KSrzXD6W01qjXVjNGh,70
61,spotify:track:3nJYcY9yvKP8Oi2Ml8brXt,71
62,spotify:track:4TTV7EcfroSLWzXRY6gLv6,74
63,spotify:track:4cxvludVmQxryrnx1m9FqL,74
